B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.5,5.0,0,0.0,60,50000,0.107553
0.01,1.5,5.0,5,-0.5,10,50000,0.442524
0.01,1.5,5.0,5,-0.5,20,50000,0.269666
0.01,1.5,5.0,5,-0.5,30,50000,0.207159
0.01,1.5,5.0,5,-0.5,40,50000,0.167838
0.01,1.5,5.0,5,-0.5,50,50000,0.146633
0.01,1.5,5.0,5,-0.5,60,50000,0.138835
0.01,1.5,5.0,5,0.5,10,50000,0.444578
0.01,1.5,5.0,5,0.5,20,50000,0.280245
0.01,1.5,5.0,5,0.5,30,50000,0.221486
0.01,1.5,5.0,5,0.5,40,50000,0.190075
0.01,1.5,5.0,5,0.5,50,50000,0.181584
0.01,1.5,5.0,5,0.5,60,50000,0.179919
0.01,1.5,5.0,5,0.0,10,50000,0.44462
0.01,1.5,5.0,5,0.0,20,50000,0.27009
0.01,1.5,5.0,5,0.0,30,50000,0.200884
0.01,1.5,5.0,5,0.0,40,50000,0.15321
0.01,1.5,5.0,5,0.0,50,50000,0.124033
0.01,1.5,5.0,5,0.0,60,50000,0.108732
0.01,1.0,0.9,-5,-0.5,10,50000,0.129304
0.01,1.0,0.9,-5,-0.5,20,50000,0.0729725
0.01,1.0,0.9,-5,-0.5,30,50000,0.0557542
0.01,1.0,0.9,-5,-0.5,40,50000,0.0487827
0.01,1.0,0.9,-5,-0.5,50,50000,0.0457893
0.01,1.0,0.9,-5,-0.5,60,50000,0.0445351
0.01,1.0,0.9,-5,0.5,10,50000,0.141348
0.01,1.0,0.9,-5,0.5,20,50000,0.0976115
0.01,1.0,0.9,-5,0.5,30,50000,0.0928899
0.01,1.0,0.9,-5,0.5,40,50000,0.0977977
0.01,1.0,0.9,-5,0.5,50,50000,0.10461
0.01,1.0,0.9,-5,0.5,60,50000,0.110323
0.01,1.0,0.9,-5,0.0,10,50000,0.134227
0.01,1.0,0.9,-5,0.0,20,50000,0.0818402
0.01,1.0,0.9,-5,0.0,30,50000,0.0686432
0.01,1.0,0.9,-5,0.0,40,50000,0.06587
0.01,1.0,0.9,-5,0.0,50,50000,0.0669618
0.01,1.0,0.9,-5,0.0,60,50000,0.0693317
0.01,1.0,0.9,0,-0.5,10,50000,0.129124
0.01,1.0,0.9,0,-0.5,20,50000,0.0728768
0.01,1.0,0.9,0,-0.5,30,50000,0.0556328
0.01,1.0,0.9,0,-0.5,40,50000,0.0486276
0.01,1.0,0.9,0,-0.5,50,50000,0.0456011
0.01,1.0,0.9,0,-0.5,60,50000,0.0443204
0.01,1.0,0.9,0,0.5,10,50000,0.141199
0.01,1.0,0.9,0,0.5,20,50000,0.0974464
0.01,1.0,0.9,0,0.5,30,50000,0.0927164
0.01,1.0,0.9,0,0.5,40,50000,0.0976059
0.01,1.0,0.9,0,0.5,50,50000,0.104397
0.01,1.0,0.9,0,0.5,60,50000,0.110075
0.01,1.0,0.9,0,0.0,10,50000,0.134052
0.01,1.0,0.9,0,0.0,20,50000,0.0816982
0.01,1.0,0.9,0,0.0,30,50000,0.0684819
0.01,1.0,0.9,0,0.0,40,50000,0.0656848
0.01,1.0,0.9,0,0.0,50,50000,0.066757
0.01,1.0,0.9,0,0.0,60,50000,0.0690893
0.01,1.0,0.9,5,-0.5,10,50000,0.12959
0.01,1.0,0.9,5,-0.5,20,50000,0.0733078
0.01,1.0,0.9,5,-0.5,30,50000,0.0561743
0.01,1.0,0.9,5,-0.5,40,50000,0.0493397
0.01,1.0,0.9,5,-0.5,50,50000,0.046482
0.01,1.0,0.9,5,-0.5,60,50000,0.0453605
0.01,1.0,0.9,5,0.5,10,50000,0.141509
0.01,1.0,0.9,5,0.5,20,50000,0.0978678
0.01,1.0,0.9,5,0.5,30,50000,0.0933639
0.01,1.0,0.9,5,0.5,40,50000,0.0985887
0.01,1.0,0.9,5,0.5,50,50000,0.105755
0.01,1.0,0.9,5,0.5,60,50000,0.111778
0.01,1.0,0.9,5,0.0,10,50000,0.13443
0.01,1.0,0.9,5,0.0,20,50000,0.0820273
0.01,1.0,0.9,5,0.0,30,50000,0.0689346
0.01,1.0,0.9,5,0.0,40,50000,0.0663235
0.01,1.0,0.9,5,0.0,50,50000,0.0676156
0.01,1.0,0.9,5,0.0,60,50000,0.070179
0.01,1.0,2.5,-5,-0.5,10,50000,0.305644
0.01,1.0,2.5,-5,-0.5,20,50000,0.175845
0.01,1.0,2.5,-5,-0.5,30,50000,0.126879
0.01,1.0,2.5,-5,-0.5,40,50000,0.102723
0.01,1.0,2.5,-5,-0.5,50,50000,0.089461
0.01,1.0,2.5,-5,-0.5,60,50000,0.0818395
0.01,1.0,2.5,-5,0.5,10,50000,0.310613
0.01,1.0,2.5,-5,0.5,20,50000,0.192132
0.01,1.0,2.5,-5,0.5,30,50000,0.154913
0.01,1.0,2.5,-5,0.5,40,50000,0.142738
0.01,1.0,2.5,-5,0.5,50,50000,0.140257
0.01,1.0,2.5,-5,0.5,60,50000,0.141218
0.01,1.0,2.5,-5,0.0,10,50000,0.308087
0.01,1.0,2.5,-5,0.0,20,50000,0.180453
0.01,1.0,2.5,-5,0.0,30,50000,0.132512
0.01,1.0,2.5,-5,0.0,40,50000,0.108843
0.01,1.0,2.5,-5,0.0,50,50000,0.0957211
0.01,1.0,2.5,-5,0.0,60,50000,0.0880305
0.01,1.0,2.5,0,-0.5,10,50000,0.305994
0.01,1.0,2.5,0,-0.5,20,50000,0.175801
0.01,1.0,2.5,0,-0.5,30,50000,0.126542
0.01,1.0,2.5,0,-0.5,40,50000,0.102294
0.01,1.0,2.5,0,-0.5,50,50000,0.0889417
0.01,1.0,2.5,0,-0.5,60,50000,0.0812439
0.01,1.0,2.5,0,0.5,10,50000,0.310981
0.01,1.0,2.5,0,0.5,20,50000,0.191768
0.01,1.0,2.5,0,0.5,30,50000,0.15425
0.01,1.0,2.5,0,0.5,40,50000,0.141845
0.01,1.0,2.5,0,0.5,50,50000,0.139167
0.01,1.0,2.5,0,0.5,60,50000,0.139992
0.01,1.0,2.5,0,0.0,10,50000,0.308391
0.01,1.0,2.5,0,0.0,20,50000,0.18025
0.01,1.0,2.5,0,0.0,30,50000,0.132017
