    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.02_1.49_2.37_4.71_0.44_55.79_470059.08_0.5",   0.02,   1.49,   2.37,   4.71,   0.44,   55.79,   470059,   0.109191
    "ubend_0.02_1.4_3.31_2.09_0.5_29.99_405281.32_0.5",   0.02,   1.4,   3.31,   2.09,   0.5,   29.99,   405281,   0.134602
    "ubend_0.03_1.01_2.23_-0.48_-0.02_35.15_448777.17_0.5",   0.03,   1.01,   2.23,   -0.48,   -0.02,   35.15,   448777,   0.0733202
    "ubend_0.03_1.02_3.31_3.48_0.43_49.62_165730.33_0.5",   0.03,   1.02,   3.31,   3.48,   0.43,   49.62,   165730,   0.136834
    "ubend_0.03_1.04_4.62_7.65_-0.87_44.07_204663.1_0.5",   0.03,   1.04,   4.62,   7.65,   -0.87,   44.07,   204663,   0.179413
    "ubend_0.03_1.04_4.86_-13.9_-0.54_29.63_383962.01_0.5",   0.03,   1.04,   4.86,   -13.9,   -0.54,   29.63,   383962,   0.1598
    "ubend_0.03_1.05_1.22_13.07_-0.09_43.83_283663.73_0.5",   0.03,   1.05,   1.22,   13.07,   -0.09,   43.83,   283663,   0.0488326
    "ubend_0.03_1.06_1.88_4.38_-0.54_26.07_330605.36_0.5",   0.03,   1.06,   1.88,   4.38,   -0.54,   26.07,   330605,   0.0772284
    "ubend_0.03_1.07_3.15_3.31_0.39_49.22_420708.02_0.5",   0.03,   1.07,   3.15,   3.31,   0.39,   49.22,   420708,   0.114819
    "ubend_0.03_1.07_3.2_-0.61_0.77_23.97_188479.44_0.5",   0.03,   1.07,   3.2,   -0.61,   0.77,   23.97,   188479,   0.180952
    "ubend_0.03_1.09_1.45_7.33_0.06_27.73_112047.02_0.5",   0.03,   1.09,   1.45,   7.33,   0.06,   27.73,   112047,   0.082207
    "ubend_0.03_1.0_1.09_9.5_0.38_57.59_430418.64_0.5",   0.03,   1,   1.09,   9.5,   0.38,   57.59,   430418,   0.0808414
    "ubend_0.03_1.0_2.69_-2.69_0.08_56.71_208420.91_0.5",   0.03,   1,   2.69,   -2.69,   0.08,   56.71,   208420,   0.0772191
    "ubend_0.03_1.11_1.54_-12.74_-0.56_24.95_178171.92_0.5",   0.03,   1.11,   1.54,   -12.74,   -0.56,   24.95,   178171,   0.0737995
    "ubend_0.03_1.12_2.92_2.72_0.96_21.62_361277.49_0.5",   0.03,   1.12,   2.92,   2.72,   0.96,   21.62,   361277,   0.176743
    "ubend_0.03_1.12_3.57_6.83_0.22_16.05_176494.27_0.5",   0.03,   1.12,   3.57,   6.83,   0.22,   16.05,   176494,   0.224279
    "ubend_0.03_1.13_4.68_-4.4_-0.92_15.45_196833.65_0.5",   0.03,   1.13,   4.68,   -4.4,   -0.92,   15.45,   196833,   0.256351
    "ubend_0.03_1.15_2.26_-13.43_-0.91_58.24_318773.97_0.5",   0.03,   1.15,   2.26,   -13.43,   -0.91,   58.24,   318773,   0.0848219
    "ubend_0.03_1.17_1.75_-10.4_0.21_16.33_210263.46_0.5",   0.03,   1.17,   1.75,   -10.4,   0.21,   16.33,   210263,   0.135879
    "ubend_0.03_1.17_1.83_6.78_-0.57_30.11_292308.51_0.5",   0.03,   1.17,   1.83,   6.78,   -0.57,   30.11,   292308,   0.0678364
    "ubend_0.03_1.17_2.42_14.75_0.95_28.14_447129.63_0.5",   0.03,   1.17,   2.42,   14.75,   0.95,   28.14,   447129,   0.162677
    "ubend_0.03_1.17_4.5_-14.13_0.17_50.11_170815.11_0.5",   0.03,   1.17,   4.5,   -14.13,   0.17,   50.11,   170815,   0.116408
    "ubend_0.03_1.18_2.77_-3.37_-0.14_57.22_242737.26_0.5",   0.03,   1.18,   2.77,   -3.37,   -0.14,   57.22,   242737,   0.0572733
    "ubend_0.03_1.18_3.07_10.61_0.25_38.87_292820.85_0.5",   0.03,   1.18,   3.07,   10.61,   0.25,   38.87,   292820,   0.102948
    "ubend_0.03_1.19_2.03_14.64_-0.76_35.53_488886.48_0.5",   0.03,   1.19,   2.03,   14.64,   -0.76,   35.53,   488886,   0.0705885
    "ubend_0.03_1.1_1.9_5.55_0.95_32.2_200373.9_0.5",   0.03,   1.1,   1.9,   5.55,   0.95,   32.2,   200373,   0.161293
    "ubend_0.03_1.1_3.8_11.23_-0.58_14.61_232336.56_0.5",   0.03,   1.1,   3.8,   11.23,   -0.58,   14.61,   232336,   0.236939
    "ubend_0.03_1.21_1.03_-5.97_-0.34_30.78_177731.48_0.5",   0.03,   1.21,   1.03,   -5.97,   -0.34,   30.78,   177731,   0.0466964
    "ubend_0.03_1.21_1.75_10.91_0.26_32.31_330403.54_0.5",   0.03,   1.21,   1.75,   10.91,   0.26,   32.31,   330403,   0.0807747
